00.00,SECRETARIA ACADEMICA,Todos,SECRETARIA ACADEMICA,Todos,Todos,,,,SECRETARIA ACADEMICA,00.00,,SECRETARIA ACADEMICA,00.00
12.24,Ingenieria de Reacciones y Reactores I,Grado,Quimica,Segundo Cuat.,2013,Si,14,,Mecanismos y Elementos de Maquinas,31.27,,Ingenieria de Reacciones y Reactores I,12.24
72.35,Ingenieria de Software I,Grado,Informatica,Segundo Cuat.,2013,Si,12,,Maquinas e Instalaciones Termicas,31.28,,Ingenieria de Software I,72.35
72.40,Ingenieria de Software II,Grado,Informatica,Segundo Cuat.,2013,Si,5,,Materiales Polimericos,31.30,,Ingenieria de Software II,72.40
14.40,Ingenieria y cambios Climaticos,Grado,Industrial,Segundo Cuat.,2013,Si,12,,Mecanismos,31.33,,Ingenieria y cambios Climaticos,14.40
11.18,Ingenieria y Mantenimiento,Grado,Industrial,Segundo Cuat.,2013,Si,8,,Estatica,31.34,,Ingenieria y Mantenimiento,11.18
21.65,Instalaciones Electricas y Luminotecnia,Grado,Electrica,Segundo Cuat.,2013,Si,2,,Resistencia de Materiales,31.35,,Instalaciones Electricas y Luminotecnia,21.65
22.73,Instrumentacion y Control Industrial,Grado,Electronica,Segundo Cuat.,2013,Si,41,,Transferencia de Calor,31.37,,Instrumentacion y Control Industrial,22.73
21.74,Instrumentos y Mediciones Electricas,Grado,Electrica,Segundo Cuat.,2013,Si,6,,Proyecto Mecanico  (Anual),31.40,,Instrumentos y Mediciones Electricas,21.74
81.38,Integracion de Procesos de Negocios y Aplic Inf,Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,11,,Proyecto Mecanico  (Anual),31.40,,Integracion de Procesos de Negocios y Aplic Inf,81.38
14.49,Integracion de Procesos y Sistemas en SCM,Grado,Industrial,Segundo Cuat.,2013,Si,17,,Construcciones Industriales(i),31.52,,Integracion de Procesos y Sistemas en SCM,14.49
72.36,Interaccion Hombre-computadora (HCI),Grado,Informatica,Segundo Cuat.,2013,Si,23,,Proyectos Mecatronicos  (Anual),31.58,,Interaccion Hombre-computadora (HCI),72.36
22.38,Interfaces Bioelectronicas,Grado,Electronica,Segundo Cuat.,2013,Si,0,,Proyectos Mecatronicos  (Anual),31.58,,Interfaces Bioelectronicas,22.38
16.50,Introduccion a la Bioinformatica,Grado,Bioingenieria,Segundo Cuat.,2013,Si,2,,Procesos de Manufactura II,31.65,,Introduccion a la Bioinformatica,16.50
22.06,Introduccion a la Computacion,Grado,Electronica,Segundo Cuat.,2013,Si,14,,Sistemas Mecatronicos,31.82,,Introduccion a la Computacion,22.06
72.03,Introduccion a la Informatica,Grado,Informatica,Segundo Cuat.,2013,Si,29,,Transmisiones Automotrices,31.85,,Introduccion a la Informatica,72.03
12.10,Introduccion a la Ingenieria Quimica,Grado,Quimica,Segundo Cuat.,2013,Si,24,,Proyecto Automotor  (Anual),31.88,,Introduccion a la Ingenieria Quimica,12.10
81.02,Introduccion a la Licenciatura en Adm y Sistemas,Grado,Licenciatura en Adm. y Sistemas,Segundo Cuat.,2013,Si,24,,Dinamica del Automovil,31.89,,Introduccion a la Licenciatura en Adm y Sistemas,81.02
71.57,Introduccion a la Programacion,Grado,Informatica,Segundo Cuat.,2013,Si,24,,Elementos Finitos I,31.91,,Introduccion a la Programacion,71.57
72.50,Introduccion Al Desarrollo de Videojuegos,Grado,Informatica,Segundo Cuat.,2013,Si,10,,Tecnologia de Materiales Compuestos,31.94,,Introduccion Al Desarrollo de Videojuegos,72.50
11.51,Investigacion Operativa,Grado,Industrial,Segundo Cuat.,2013,Si,87,,Fisica y Mecanica de Aceros,31.95,,Investigacion Operativa,11.51
22.99,Lab. de Microprocesadores,Grado,Electronica,Segundo Cuat.,2013,Si,13,,Mecatronica Aplicada,31.99,,Lab. de Microprocesadores,22.99
22.49,Laboratorio de Dsp-fpga,Grado,Electronica,Segundo Cuat.,2013,Si,4,,Arquitectura Naval II,32.51,,Laboratorio de Dsp-fpga,22.49
22.42,Laboratorio de Electronica,Grado,Electronica,Segundo Cuat.,2013,Si,20,,Maquinas Marinas II,32.53,,Laboratorio de Electronica,22.42
31.18,Laboratorio de Materiales,Grado,Mecanica,Segundo Cuat.,2013,Si,18,,Alistamiento Naval,32.56,,Laboratorio de Materiales,31.18
93.35,Logica Computacional,Grado,Matematica,Segundo Cuat.,2013,Si,31,,Perforacion Petrolera I,41.03,,Logica Computacional,93.35
11.59,Logistica,Grado,Industrial,Segundo Cuat.,2013,Si,42,,Geologia del Petroleo,41.05,,Logistica,11.59
61.82,Macroeconomia,Grado,"Economia, Finanzas y Legales",Segundo Cuat.,2013,Si,41,,Petrofisica y Fluidos de Reservorios,41.08,,Macroeconomia,61.82
21.72,Mantenimiento de Maquinas e Instalaciones Electricas,Grado,Electrica,Segundo Cuat.,2013,Si,3,,Recuperacion Asistida de Petr.,41.10,,Mantenimiento de Maquinas e Instalaciones Electricas,21.72
30.05,Manufactura,Grado,Mecanica,Segundo Cuat.,2013,Si,25,,Gas y Gasolina Natural,41.15,,Manufactura,30.05
21.07,Maquinas e Instalaciones Electricas,Grado,Electrica,Segundo Cuat.,2013,Si,81,,Geofisica de Reservorios,41.18,,Maquinas e Instalaciones Electricas,21.07
31.28,Maquinas e Instalaciones Termicas,Grado,Mecanica,Segundo Cuat.,2013,Si,82,,Desarrollo de Negocios,41.19,,Maquinas e Instalaciones Termicas,31.28
21.80,Maquinas Electricas I,Grado,Electrica,Segundo Cuat.,2013,Si,7,,Practica de Campo I,41.21,,Maquinas Electricas I,21.80
32.53,Maquinas Marinas II,Grado,Naval,Segundo Cuat.,2013,Si,2,,Practica de Campo II,41.22,,Maquinas Marinas II,32.53
11.39,Marketing,Grado,Industrial,Segundo Cuat.,2013,Si,84,,Terminacion y Reparacion de Pozos de Petroleo y Gas,41.25,,Marketing,11.39
11.40,Marketing II,Grado,Industrial,Segundo Cuat.,2013,Si,19,,Desarrollo de Yacimientos  (Anual),41.26,,Marketing II,11.40
93.16,Matematica Discreta,Grado,Matematica,Segundo Cuat.,2013,Si,14,,Produccion de Petroleo,41.27,,Matematica Discreta,93.16
93.59,Matematica Discreta,Grado,Matematica,Segundo Cuat.,2013,Si,27,,Geologia para Ingenieros,41.32,,Matematica Discreta,93.59
93.17,Matematica I,Grado,Matematica,Segundo Cuat.,2013,Si,222,,Materiales para la Industria Petrolera,41.33,,Matematica I,93.17
